year;summer_mcg/m3;winter_mcg/m3
2024;12.8;8.8
2024;11.6;8.4
2024;11.6;8.3
2024;11.4;8.2
2024;10.9;7.9
2024;11;8
2024;10.8;8
2024;10.3;7.6
2024;10.5;7.7
2024;10.3;7.6
2024;10;7.5
2024;10;7.5
2024;9.9;7.5
2024;9.8;7.4
2024;9.6;7.2
2024;9.2;7.2
2024;9;7.1
2024;9.1;7.1
2024;9.1;7.1
2024;9.1;7
2024;9;7
2024;9;7
2024;8.9;6.8
2024;9;7
2024;9;7
2024;8.9;6.9
2024;9;7
2024;8.9;6.9
2024;8.7;6.9
2024;8.8;6.9
2024;8.8;6.9
2024;8.8;6.8
2024;8.7;6.8
2024;8.6;6.7
2024;8.5;6.6
2024;8.5;6.6
2024;8.3;6.7
2024;8.5;6.7
2024;8.5;6.7
2024;8.4;6.6
2024;8.5;6.4
2024;8.5;6.6
2024;8.5;6.6
2024;8.5;6.7
2024;8.4;6.8
2024;8.4;6.5
2024;8.5;6.7
2024;8.4;6.8
2024;8.4;6.5
2024;8.3;6.6
2024;8.4;6.5
2024;8.3;6.6
2024;8.4;6.5
2024;8.3;6.6
2024;8.4;6.4
2024;8.4;6.5
2024;8.5;6.3
2024;8.1;6.4
2024;8.4;6.3
2024;8.2;6.4
2024;8.2;6.4
2024;8.2;6.4
2024;8.2;6.4
2024;8.2;6.3
2024;8.3;6.2
2024;8.1;6.2
2024;8.2;6.1
2024;8.1;6.3
2024;8.1;6.3
2024;8.1;6.2
2024;8.3;6.1
2024;7.9;6.4
2024;8.3;6.1
2024;8.2;6.1
2024;8.1;6.3
2024;8.2;6.1
2024;8.2;5.9
2024;8;6.2
2024;8;6.2
2024;7.8;6.3
2024;8.2;6.2
2024;8.1;5.8
2024;7.9;6.1
2024;8;6.2
2024;8.2;6.2
2024;8.1;5.8
2024;7.9;6.1
2024;8;6.2
2024;7.9;6
2024;8.2;5.8
2024;7.8;6.1
2024;7.9;6.1
2024;7.9;6.1
2024;7.9;6.1
2024;7.9;6.1
2024;7.8;6.1
2024;7.9;6.1
2024;7.9;6.1
2024;7.8;6.1
2024;7.7;6.2
2024;7.8;6
2024;7.6;5.8
2024;8.1;5.7
2024;7.6;6.1
2024;8.1;5.7
2024;7.9;5.6
2024;7.6;5.6
2024;7.4;5.9
2024;7.6;5.6
2024;7.4;6
2024;7.6;5.6
2024;7.6;5.8
2024;7.5;5.8
2024;7.4;5.8
2024;7.5;5.8
2024;7.5;5.8
2024;7.1;5.7
2024;7.5;5.6
2024;7.3;5.9
2024;7.4;5.8
2024;7.4;5.8
2024;7.3;5.6
2024;7.3;5.4
2024;7;5.6
2024;7.4;5.8
2024;7.3;5.6
2024;7.3;5.4
2024;7.1;5.5
2024;7.2;5.4
2024;7;5.6
2024;7.1;5.3
2024;7.1;5.3
2024;7.1;5
2024;7.1;5
2024;7.1;5.1
2024;7;5
2024;6.9;5
2024;6.9;5
2024;6.7;5.1
2024;6.7;5.1
2024;6.7;5.1
